dataset,caracteristica,muestras,features,clases,silueta,dunn,ari,ami,nmi,distribucion,capacidad
mechanical_tools,momentos,1214,24,3,0.071,0.003,0.051,0.057,0.058,"C0:Rope:109 Toolbox:196 pliers:30
C1:Rope:119 Toolbox:139 pliers:224
C2:Rope:107 Toolbox:147 pliers:143","C0: 335/335
C1: 482/482
C2: 397/397"
mechanical_tools,sift,1214,57,3,0.11,0.016,0.064,0.063,0.064,"C0:Rope:61 Toolbox:112 pliers:162
C1:Rope:190 Toolbox:232 pliers:60
C2:Rope:84 Toolbox:138 pliers:175","C0: 335/335
C1: 482/482
C2: 397/397"
mechanical_tools,hog,1214,756,3,0.014,0.038,0.022,0.021,0.022,"C0:Rope:85 Toolbox:95 pliers:155
C1:Rope:116 Toolbox:209 pliers:157
C2:Rope:134 Toolbox:178 pliers:85","C0: 335/335
C1: 482/482
C2: 397/397"
mechanical_tools,embeddings,1214,512,3,0.022,0.033,0.303,0.266,0.267,"C0:Rope:208 Toolbox:103 pliers:24
C1:Rope:85 Toolbox:71 pliers:326
C2:Rope:42 Toolbox:308 pliers:47","C0: 335/335
C1: 482/482
C2: 397/397"
