dataset,caracteristica,muestras,features,clases,silueta,dunn,ari,ami,nmi,distribucion,capacidad
ecommerce,momentos,796,24,4,0.071,0.002,0.233,0.247,0.25,"C0:jeans:105 sofa:27 tshirt:31 tv:36
C1:jeans:5 sofa:162 tshirt:7 tv:25
C2:jeans:49 sofa:6 tshirt:84 tv:60
C3:jeans:40 sofa:4 tshirt:77 tv:78","C0: 199/199
C1: 199/199
C2: 199/199
C3: 199/199"
ecommerce,sift,796,57,4,0.028,0.003,0.086,0.106,0.109,"C0:jeans:37 sofa:1 tshirt:73 tv:88
C1:jeans:77 sofa:23 tshirt:48 tv:51
C2:jeans:32 sofa:102 tshirt:34 tv:31
C3:jeans:53 sofa:73 tshirt:44 tv:29","C0: 199/199
C1: 199/199
C2: 199/199
C3: 199/199"
ecommerce,hog,796,756,4,0.112,0.01,0.361,0.395,0.398,"C0:jeans:29 sofa:1 tshirt:104 tv:65
C1:sofa:164 tshirt:1 tv:34
C2:jeans:156 tshirt:34 tv:9
C3:jeans:14 sofa:34 tshirt:60 tv:91","C0: 199/199
C1: 199/199
C2: 199/199
C3: 199/199"
ecommerce,embeddings,796,512,4,0.056,0.023,0.441,0.455,0.457,"C0:jeans:6 sofa:7 tshirt:43 tv:143
C1:jeans:1 sofa:181 tshirt:1 tv:16
C2:jeans:67 tshirt:120 tv:12
C3:jeans:125 sofa:11 tshirt:35 tv:28","C0: 199/199
C1: 199/199
C2: 199/199
C3: 199/199"
mechanical_tools,momentos,1214,24,3,0.071,0.003,0.051,0.057,0.058,"C0:Rope:109 Toolbox:196 pliers:30
C1:Rope:119 Toolbox:139 pliers:224
C2:Rope:107 Toolbox:147 pliers:143","C0: 335/335
C1: 482/482
C2: 397/397"
mechanical_tools,sift,1214,57,3,0.11,0.016,0.064,0.063,0.064,"C0:Rope:61 Toolbox:112 pliers:162
C1:Rope:190 Toolbox:232 pliers:60
C2:Rope:84 Toolbox:138 pliers:175","C0: 335/335
C1: 482/482
C2: 397/397"
mechanical_tools,hog,1214,756,3,0.014,0.038,0.022,0.021,0.022,"C0:Rope:85 Toolbox:95 pliers:155
C1:Rope:116 Toolbox:209 pliers:157
C2:Rope:134 Toolbox:178 pliers:85","C0: 335/335
C1: 482/482
C2: 397/397"
mechanical_tools,embeddings,1214,512,3,0.022,0.033,0.303,0.266,0.267,"C0:Rope:208 Toolbox:103 pliers:24
C1:Rope:85 Toolbox:71 pliers:326
C2:Rope:42 Toolbox:308 pliers:47","C0: 335/335
C1: 482/482
C2: 397/397"
