metodo,semilla,silueta,dunn,ari,ami,nmi,distribucion,tamaniosActuales,tamaniosMaximos,primeras5Etiquetas,capacidad
CluORT,0,0.356,0.046,0.61,0.648,0.652,"{'cluster_0': {'totalPuntos': 50, 'etiquetasReales': {np.str_('virginica'): 37, np.str_('versicolor'): 13}}, 'cluster_1': {'totalPuntos': 50, 'etiquetasReales': {np.str_('versicolor'): 37, np.str_('virginica'): 13}}, 'cluster_2': {'totalPuntos': 50, 'etiquetasReales': {np.str_('setosa'): 50}}}","[50, 50, 50]","[50, 50, 50]","virginica, versicolor, setosa, virginica, setosa",C0 (n=50): ver:13 vir:37<br>C1 (n=50): ver:37 vir:13<br>C2 (n=50): set:50
CluORT,1,0.415,0.033,0.61,0.648,0.652,"{'cluster_0': {'totalPuntos': 50, 'etiquetasReales': {np.str_('setosa'): 50}}, 'cluster_1': {'totalPuntos': 50, 'etiquetasReales': {np.str_('versicolor'): 37, np.str_('virginica'): 13}}, 'cluster_2': {'totalPuntos': 50, 'etiquetasReales': {np.str_('versicolor'): 13, np.str_('virginica'): 37}}}","[50, 50, 50]","[50, 50, 50]","setosa, versicolor, versicolor, setosa, virginica",C0 (n=50): set:50<br>C1 (n=50): ver:37 vir:13<br>C2 (n=50): ver:13 vir:37
CluORT,2,0.394,0.042,0.53,0.505,0.511,"{'cluster_0': {'totalPuntos': 50, 'etiquetasReales': {np.str_('setosa'): 46, np.str_('virginica'): 1, np.str_('versicolor'): 3}}, 'cluster_1': {'totalPuntos': 50, 'etiquetasReales': {np.str_('setosa'): 4, np.str_('versicolor'): 36, np.str_('virginica'): 10}}, 'cluster_2': {'totalPuntos': 50, 'etiquetasReales': {np.str_('virginica'): 39, np.str_('versicolor'): 11}}}","[50, 50, 50]","[50, 50, 50]","setosa, setosa, virginica, setosa, setosa",C0 (n=50): set:46 ver:3 vir:1<br>C1 (n=50): set:4 ver:36 vir:10<br>C2 (n=50): ver:11 vir:39
CluORT,3,0.344,0.037,0.549,0.518,0.524,"{'cluster_0': {'totalPuntos': 50, 'etiquetasReales': {np.str_('setosa'): 1, np.str_('virginica'): 38, np.str_('versicolor'): 11}}, 'cluster_1': {'totalPuntos': 50, 'etiquetasReales': {np.str_('setosa'): 2, np.str_('versicolor'): 37, np.str_('virginica'): 11}}, 'cluster_2': {'totalPuntos': 50, 'etiquetasReales': {np.str_('setosa'): 47, np.str_('versicolor'): 2, np.str_('virginica'): 1}}}","[50, 50, 50]","[50, 50, 50]","setosa, setosa, setosa, setosa, setosa",C0 (n=50): set:1 ver:11 vir:38<br>C1 (n=50): set:2 ver:37 vir:11<br>C2 (n=50): set:47 ver:2 vir:1
STREAMKMeans,0,0.384,0.039,0.591,0.62,0.625,"{'cluster_0': {'etiquetasReales': {np.str_('setosa'): 2, np.str_('versicolor'): 18, np.str_('virginica'): 44}, 'total': 64}, 'cluster_1': {'etiquetasReales': {np.str_('setosa'): 48}, 'total': 48}, 'cluster_2': {'etiquetasReales': {np.str_('versicolor'): 32, np.str_('virginica'): 6}, 'total': 38}}","[64, 48, 38]","[50, 50, 50]","virginica, versicolor, setosa, virginica, setosa",C0 (n=64): set:2 ver:18 vir:44<br>C1 (n=48): set:48<br>C2 (n=38): ver:32 vir:6
STREAMKMeans,1,0.289,0.034,0.542,0.584,0.59,"{'cluster_0': {'etiquetasReales': {np.str_('setosa'): 3, np.str_('versicolor'): 27, np.str_('virginica'): 6}, 'total': 36}, 'cluster_1': {'etiquetasReales': {np.str_('setosa'): 47}, 'total': 47}, 'cluster_2': {'etiquetasReales': {np.str_('versicolor'): 23, np.str_('virginica'): 44}, 'total': 67}}","[36, 47, 67]","[50, 50, 50]","setosa, versicolor, versicolor, setosa, virginica",C0 (n=36): set:3 ver:27 vir:6<br>C1 (n=47): set:47<br>C2 (n=67): ver:23 vir:44
STREAMKMeans,2,0.355,0.044,0.539,0.571,0.576,"{'cluster_0': {'etiquetasReales': {np.str_('setosa'): 4, np.str_('versicolor'): 17, np.str_('virginica'): 42}, 'total': 63}, 'cluster_1': {'etiquetasReales': {np.str_('versicolor'): 33, np.str_('virginica'): 8}, 'total': 41}, 'cluster_2': {'etiquetasReales': {np.str_('setosa'): 46}, 'total': 46}}","[63, 41, 46]","[50, 50, 50]","setosa, setosa, virginica, setosa, setosa",C0 (n=63): set:4 ver:17 vir:42<br>C1 (n=41): ver:33 vir:8<br>C2 (n=46): set:46
STREAMKMeans,3,0.269,0.034,0.555,0.551,0.556,"{'cluster_0': {'etiquetasReales': {np.str_('setosa'): 3, np.str_('versicolor'): 36, np.str_('virginica'): 11}, 'total': 50}, 'cluster_1': {'etiquetasReales': {np.str_('versicolor'): 12, np.str_('virginica'): 39}, 'total': 51}, 'cluster_2': {'etiquetasReales': {np.str_('setosa'): 47, np.str_('versicolor'): 2}, 'total': 49}}","[50, 51, 49]","[50, 50, 50]","setosa, setosa, setosa, setosa, setosa",C0 (n=50): set:3 ver:36 vir:11<br>C1 (n=51): ver:12 vir:39<br>C2 (n=49): set:47 ver:2
